Make,Model,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
CHEVROLET,ASTRO,,,,,,19215,386,25,,,,,,,,,,,,,,,,,,,
CHEVROLET,AVALANCHE,,,,,,63186,57076,55550,35003,16432,20515,20088,25789,16526,92,8,,,,,,,,,,,
CHEVROLET,AVEO,,,,,,68085,58244,67028,55360,38516,48623,28601,84,2,,,,,,,,,,,,,
CHEVROLET,Avalanche,,,,,,,,,,,,,,16526,92,,,,,,,,,,,,
CHEVROLET,Aveo,,,,,,,,,,,,,,2,,,,,,,,,,,,,
CHEVROLET,BLAZER,225948,149195,95937,53426,32950,4936,114,7,,,,,,,,,,,27,58116,94598,70323,67247,65512,51144,54621,
CHEVROLET,Blazer,,,,,,,,,,,,,,,,,,,,58115,94601,70325,67246,,,,
CHEVROLET,Bolt,,,,,,,,,,,,,,,,,579,23297,18019,16418,20754,22073,11029,,,,
CHEVROLET,Bolt EUV,,,,,,,,,,,,,,,,,,,,,,2755,27091,,,,
CHEVROLET,C/K Suburban,,,,,,,,,,,,,,51260,55009,50866,60082,56516,60633,51928,37636,48214,50951,,,,
CHEVROLET,CAMARO,,,,,,,,,,61648,81299,88249,91314,80294,86297,77502,72705,67940,50963,48266,29777,21893,24652,31029,5860,173,
CHEVROLET,CAPRICE,,,,,,,,,,,,880,3889,3899,3727,1845,1021,693,40,,,,,,,,
CHEVROLET,CAPTIVA SPORT,,,,,,,,,,,,7038,39224,47600,35368,55,2,,,,,,,,,,
CHEVROLET,CAVALIER,236803,233298,238225,256550,195275,18960,355,57,,,,,,,,,,,,,,,,,,,
CHEVROLET,COBALT,,,,,4959,212707,211449,200620,188045,104364,97376,856,13,,,,,,,,,,,,,,
CHEVROLET,COLORADO,,,,,,128359,93876,75716,54346,32413,24642,31026,40372,3412,8003,84430,108725,112996,134842,121703,96236,73008,89197,71082,98013,107867,
CHEVROLET,CORVETTE,,,,,,32489,36518,33685,26971,13934,12624,13164,15059,17291,34839,33329,29995,25079,18789,17988,21627,33042,37510,34354,33331,24533,
CHEVROLET,CRUZE,,,,,,,,,,,516,231732,258185,248224,273060,226602,190876,184751,142618,47975,783,,,,,,
CHEVROLET,Camaro,,,,,,,,,,,,,,80567,86297,77502,72705,67940,50963,48265,29775,21893,24652,,,,
CHEVROLET,Caprice,,,,,,,,,,,,,,3899,3727,1845,1021,693,75,7,,,,,,,
CHEVROLET,Captiva,,,,,,,,,,,,,,47600,35368,55,,,,,,,,,,,
CHEVROLET,City Express,,,,,,,,,,,,,,,530,10283,7019,8348,3531,139,,,,,,,
CHEVROLET,Colorado,,,,,,,,,,,,,,3412,8003,84430,108725,112996,134842,122304,96238,73008,89197,,,,
CHEVROLET,Corvette,,,,,,,,,,,,,,17291,34839,33329,29995,25079,18791,17988,21626,33041,34510,,,,
CHEVROLET,Cruze,,,,,,,,,,,,,,248224,273060,226602,188876,184751,142617,47975,784,57,,,,,
CHEVROLET,EL CAMINO,50206,32331,31611,28519,4223,203,,,,,,,,,,,,,,,,,,,,,
CHEVROLET,EQUINOX,,,,,,130542,113888,89552,67447,86148,149979,193274,236472,238192,242152,277589,242195,290458,332621,346049,270994,165325,212072,212701,207732,299441,
